"Year","State","Visa_Type","Visa_Stream","Arrival","Departure","Net"
2022,"QLD","Temporary","Total",89200,12680,76520
2023,"QLD","Temporary","Student",30900,5060,25840
2023,"QLD","Temporary","Skilled",8880,930,7950
2023,"QLD","Temporary","Working_Holiday",15860,2470,13390
2023,"QLD","Temporary","Visitors",12940,2860,10080
2023,"QLD","Temporary","Others",7260,7200,60
2023,"QLD","Temporary","Total",75840,18520,57320
2014,"SA","Temporary","Student",7100,2990,4110
2014,"SA","Temporary","Skilled",1200,590,610
2014,"SA","Temporary","Working_Holiday",1610,1110,500
2014,"SA","Temporary","Visitors",1940,460,1480
2014,"SA","Temporary","Others",330,840,-510
2014,"SA","Temporary","Total",12180,5990,6190
2015,"SA","Temporary","Student",7420,2980,4440
2015,"SA","Temporary","Skilled",1040,530,510
2015,"SA","Temporary","Working_Holiday",1390,1070,320
2015,"SA","Temporary","Visitors",2150,530,1620
2015,"SA","Temporary","Others",370,980,-610
2015,"SA","Temporary","Total",12370,6090,6280
2016,"SA","Temporary","Student",7500,3050,4450
2016,"SA","Temporary","Skilled",930,460,470
2016,"SA","Temporary","Working_Holiday",1210,890,320
2016,"SA","Temporary","Visitors",2310,560,1750
2016,"SA","Temporary","Others",430,980,-550
2016,"SA","Temporary","Total",12380,5940,6440
2017,"SA","Temporary","Student",7790,2820,4970
2017,"SA","Temporary","Skilled",1010,440,570
2017,"SA","Temporary","Working_Holiday",1070,630,440
2017,"SA","Temporary","Visitors",2630,640,1990
2017,"SA","Temporary","Others",560,1220,-660
2017,"SA","Temporary","Total",13060,5750,7310
2018,"SA","Temporary","Student",8680,2930,5750
2018,"SA","Temporary","Skilled",1060,430,630
2018,"SA","Temporary","Working_Holiday",1120,620,500
2018,"SA","Temporary","Visitors",3910,880,3030
2018,"SA","Temporary","Others",680,1190,-510
2018,"SA","Temporary","Total",15450,6050,9400
2019,"SA","Temporary","Student",7700,5260,2440
2019,"SA","Temporary","Skilled",720,410,310
2019,"SA","Temporary","Working_Holiday",1050,510,540
2019,"SA","Temporary","Visitors",6050,610,5440
2019,"SA","Temporary","Others",1080,1550,-470
2019,"SA","Temporary","Total",16600,8340,8260
2020,"SA","Temporary","Student",80,2600,-2520
2020,"SA","Temporary","Skilled",340,310,30
2020,"SA","Temporary","Working_Holiday",30,230,-200
2020,"SA","Temporary","Visitors",290,750,-460
2020,"SA","Temporary","Others",720,2030,-1310
2020,"SA","Temporary","Total",1460,5920,-4460
2021,"SA","Temporary","Student",9040,1380,7660
2021,"SA","Temporary","Skilled",880,220,660
2021,"SA","Temporary","Working_Holiday",590,120,470
2021,"SA","Temporary","Visitors",2580,970,1610
2021,"SA","Temporary","Others",1730,1650,80
2021,"SA","Temporary","Total",14820,4340,10480
2022,"SA","Temporary","Student",16450,840,15610
2022,"SA","Temporary","Skilled",1670,160,1510
2022,"SA","Temporary","Working_Holiday",1960,80,1880
2022,"SA","Temporary","Visitors",5010,820,4190
2022,"SA","Temporary","Others",2840,1540,1300
2022,"SA","Temporary","Total",27930,3440,24490
2023,"SA","Temporary","Student",11920,1440,10480
2023,"SA","Temporary","Skilled",1620,170,1450
2023,"SA","Temporary","Working_Holiday",2010,270,1740
2023,"SA","Temporary","Visitors",3950,880,3070
2023,"SA","Temporary","Others",2160,1660,500
2023,"SA","Temporary","Total",21660,4420,17240
2014,"WA","Temporary","Student",9280,3680,5600
2014,"WA","Temporary","Skilled",4690,5080,-390
2014,"WA","Temporary","Working_Holiday",8330,5480,2850
2014,"WA","Temporary","Visitors",6040,1490,4550
2014,"WA","Temporary","Others",850,2320,-1470
