"country_of_birth","Year","Count","State","share"
"China",2004,320,"ACT",27.59
"UK, CIs & IOM",2004,170,"ACT",14.66
"India",2004,170,"ACT",14.66
"USA",2004,140,"ACT",12.07
"Sudan",2004,70,"ACT",6.03
"New Zealand",2004,60,"ACT",5.17
"Philippines",2004,60,"ACT",5.17
"Korea, South",2004,60,"ACT",5.17
"Sri Lanka",2004,60,"ACT",5.17
"Afghanistan",2004,50,"ACT",4.31
"China",2005,340,"ACT",29.06
"UK, CIs & IOM",2005,200,"ACT",17.09
"India",2005,140,"ACT",11.97
"Philippines",2005,100,"ACT",8.55
"Malaysia",2005,90,"ACT",7.69
"USA",2005,80,"ACT",6.84
"New Zealand",2005,70,"ACT",5.98
"Germany",2005,50,"ACT",4.27
"Vietnam",2005,50,"ACT",4.27
"Pakistan",2005,50,"ACT",4.27
"China",2006,400,"ACT",24.24
"India",2006,330,"ACT",20
"UK, CIs & IOM",2006,210,"ACT",12.73
"USA",2006,190,"ACT",11.52
"New Zealand",2006,90,"ACT",5.45
"Indonesia",2006,90,"ACT",5.45
"Malaysia",2006,90,"ACT",5.45
"Sri Lanka",2006,90,"ACT",5.45
"Philippines",2006,80,"ACT",4.85
"Pakistan",2006,80,"ACT",4.85
"China",2007,570,"ACT",28.5
"India",2007,390,"ACT",19.5
"UK, CIs & IOM",2007,280,"ACT",14
"New Zealand",2007,140,"ACT",7
"Philippines",2007,140,"ACT",7
"USA",2007,130,"ACT",6.5
"Vietnam",2007,100,"ACT",5
"Sri Lanka",2007,90,"ACT",4.5
"Malaysia",2007,80,"ACT",4
"South Africa",2007,80,"ACT",4
"China",2008,730,"ACT",28.85
"India",2008,560,"ACT",22.13
"UK, CIs & IOM",2008,340,"ACT",13.44
"Philippines",2008,150,"ACT",5.93
"Vietnam",2008,140,"ACT",5.53
"New Zealand",2008,130,"ACT",5.14
"Korea, South",2008,130,"ACT",5.14
"Saudi Arabia",2008,120,"ACT",4.74
"Malaysia",2008,120,"ACT",4.74
"South Africa",2008,110,"ACT",4.35
"China",2009,740,"ACT",32.31
"India",2009,520,"ACT",22.71
"UK, CIs & IOM",2009,270,"ACT",11.79
"Philippines",2009,140,"ACT",6.11
"USA",2009,130,"ACT",5.68
"Vietnam",2009,120,"ACT",5.24
"Sri Lanka",2009,100,"ACT",4.37
"New Zealand",2009,90,"ACT",3.93
"Pakistan",2009,90,"ACT",3.93
"South Africa",2009,90,"ACT",3.93
"China",2010,330,"ACT",24.09
"New Zealand",2010,170,"ACT",12.41
"UK, CIs & IOM",2010,170,"ACT",12.41
"India",2010,150,"ACT",10.95
"USA",2010,120,"ACT",8.76
"South Africa",2010,110,"ACT",8.03
"Philippines",2010,90,"ACT",6.57
"Vietnam",2010,80,"ACT",5.84
"Sri Lanka",2010,80,"ACT",5.84
"Ireland",2010,70,"ACT",5.11
"UK, CIs & IOM",2011,620,"ACT",21.38
"India",2011,530,"ACT",18.28
"China",2011,390,"ACT",13.45
"New Zealand",2011,280,"ACT",9.66
"Korea, South",2011,220,"ACT",7.59
"Philippines",2011,210,"ACT",7.24
"USA",2011,210,"ACT",7.24
"South Africa",2011,170,"ACT",5.86
"Ireland",2011,150,"ACT",5.17
"Sri Lanka",2011,120,"ACT",4.14
"India",2012,420,"ACT",20.19
"China",2012,360,"ACT",17.31
"UK, CIs & IOM",2012,320,"ACT",15.38
"Philippines",2012,220,"ACT",10.58
"New Zealand",2012,210,"ACT",10.1
"Pakistan",2012,170,"ACT",8.17
"Bangladesh",2012,100,"ACT",4.81
"South Africa",2012,100,"ACT",4.81
"Vietnam",2012,90,"ACT",4.33
"Korea, South",2012,90,"ACT",4.33
"China",2013,710,"ACT",29.96
"India",2013,660,"ACT",27.85
"Philippines",2013,200,"ACT",8.44
"UK, CIs & IOM",2013,180,"ACT",7.59
"Pakistan",2013,170,"ACT",7.17
"Vietnam",2013,100,"ACT",4.22
"Sri Lanka",2013,100,"ACT",4.22
"USA",2013,90,"ACT",3.8
"Nepal",2013,80,"ACT",3.38
"South Africa",2013,80,"ACT",3.38
"China",2014,1160,"ACT",36.48
"India",2014,920,"ACT",28.93
"Philippines",2014,300,"ACT",9.43
"Pakistan",2014,210,"ACT",6.6
"UK, CIs & IOM",2014,120,"ACT",3.77
"USA",2014,110,"ACT",3.46
"Bhutan",2014,100,"ACT",3.14
"Sri Lanka",2014,90,"ACT",2.83
"South Africa",2014,90,"ACT",2.83
"Nepal",2014,80,"ACT",2.52
"China",2015,1340,"ACT",45.42
"India",2015,670,"ACT",22.71
"Philippines",2015,240,"ACT",8.14
"UK, CIs & IOM",2015,150,"ACT",5.08
"Pakistan",2015,120,"ACT",4.07
"Iraq",2015,100,"ACT",3.39
"Bhutan",2015,100,"ACT",3.39
"Vietnam",2015,80,"ACT",2.71
"Sri Lanka",2015,80,"ACT",2.71
"Nigeria",2015,70,"ACT",2.37
"China",2016,1510,"ACT",45.21
"India",2016,710,"ACT",21.26
"Philippines",2016,250,"ACT",7.49
"Iraq",2016,180,"ACT",5.39
"UK, CIs & IOM",2016,130,"ACT",3.89
"Vietnam",2016,130,"ACT",3.89
"Pakistan",2016,120,"ACT",3.59
"Malaysia",2016,110,"ACT",3.29
"Indonesia",2016,100,"ACT",2.99
"Bhutan",2016,100,"ACT",2.99
"China",2017,1510,"ACT",42.42
"India",2017,800,"ACT",22.47
"Bhutan",2017,310,"ACT",8.71
"Philippines",2017,260,"ACT",7.3
"Nepal",2017,160,"ACT",4.49
"Pakistan",2017,140,"ACT",3.93
"Vietnam",2017,110,"ACT",3.09
"New Zealand",2017,100,"ACT",2.81
"Sri Lanka",2017,90,"ACT",2.53
"Indonesia",2017,80,"ACT",2.25
"India",2018,950,"ACT",43.38
"Bhutan",2018,260,"ACT",11.87
"Philippines",2018,240,"ACT",10.96
"Nepal",2018,170,"ACT",7.76
"China",2018,120,"ACT",5.48
"Pakistan",2018,110,"ACT",5.02
"USA",2018,100,"ACT",4.57
"Syria",2018,90,"ACT",4.11
"Bangladesh",2018,80,"ACT",3.65
"UK, CIs & IOM",2018,70,"ACT",3.2
"India",2019,1030,"ACT",34.68
"Australia",2019,690,"ACT",23.23
"Bhutan",2019,340,"ACT",11.45
"Philippines",2019,240,"ACT",8.08
"Nepal",2019,160,"ACT",5.39
"USA",2019,120,"ACT",4.04
"UK, CIs & IOM",2019,110,"ACT",3.7
"Vietnam",2019,100,"ACT",3.37
"Bangladesh",2019,100,"ACT",3.37
"South Africa",2019,80,"ACT",2.69
"Afghanistan",2020,20,"ACT",22.22
"South Africa",2020,20,"ACT",22.22
"Iran",2020,10,"ACT",11.11
"Kuwait",2020,10,"ACT",11.11
"Unit Arab Emir",2020,10,"ACT",11.11
"USA",2020,10,"ACT",11.11
"Guatemala",2020,10,"ACT",11.11
"Norfolk Island(e)",2020,0,"ACT",0
"Aust E T, nec",2020,0,"ACT",0
"New Caledonia",2020,0,"ACT",0
"India",2021,710,"ACT",22.54
"China",2021,630,"ACT",20
"Bhutan",2021,630,"ACT",20
"Nepal",2021,390,"ACT",12.38
"Philippines",2021,180,"ACT",5.71
"Afghanistan",2021,160,"ACT",5.08
"Pakistan",2021,150,"ACT",4.76
"Sri Lanka",2021,110,"ACT",3.49
"Vietnam",2021,100,"ACT",3.17
"Hong Kong",2021,90,"ACT",2.86
"China",2022,1870,"ACT",26.01
"India",2022,1790,"ACT",24.9
"Bhutan",2022,1180,"ACT",16.41
"Nepal",2022,810,"ACT",11.27
"Philippines",2022,500,"ACT",6.95
"Pakistan",2022,350,"ACT",4.87
"Vietnam",2022,220,"ACT",3.06
"Sri Lanka",2022,200,"ACT",2.78
"Indonesia",2022,140,"ACT",1.95
"Bangladesh",2022,130,"ACT",1.81
"China",2023,1390,"ACT",26.99
"India",2023,1220,"ACT",23.69
"Bhutan",2023,670,"ACT",13.01
"Nepal",2023,470,"ACT",9.13
"Philippines",2023,360,"ACT",6.99
"Pakistan",2023,290,"ACT",5.63
"Vietnam",2023,220,"ACT",4.27
"New Zealand",2023,190,"ACT",3.69
"Sri Lanka",2023,190,"ACT",3.69
"Bangladesh",2023,150,"ACT",2.91
"UK, CIs & IOM",2004,22470,"AUS",21.48
"China",2004,19090,"AUS",18.25
"New Zealand",2004,16870,"AUS",16.13
"India",2004,16340,"AUS",15.62
"Sudan",2004,5690,"AUS",5.44
"South Africa",2004,5500,"AUS",5.26
"Korea, South",2004,5490,"AUS",5.25
"Philippines",2004,5320,"AUS",5.09
"Malaysia",2004,4510,"AUS",4.31
"USA",2004,3320,"AUS",3.17
"UK, CIs & IOM",2005,27690,"AUS",22.64
"India",2005,21820,"AUS",17.84
"China",2005,19970,"AUS",16.33
"New Zealand",2005,18090,"AUS",14.79
"Korea, South",2005,8110,"AUS",6.63
"South Africa",2005,7530,"AUS",6.16
"Philippines",2005,6650,"AUS",5.44
"Malaysia",2005,4850,"AUS",3.97
"Sri Lanka",2005,3800,"AUS",3.11
"Sudan",2005,3780,"AUS",3.09
"India",2006,37080,"AUS",22.79
"UK, CIs & IOM",2006,31720,"AUS",19.49
"China",2006,27880,"AUS",17.13
"New Zealand",2006,22100,"AUS",13.58
"Korea, South",2006,9440,"AUS",5.8
"Philippines",2006,9370,"AUS",5.76
"South Africa",2006,8450,"AUS",5.19
"Malaysia",2006,6080,"AUS",3.74
"Vietnam",2006,5360,"AUS",3.29
"Sri Lanka",2006,5250,"AUS",3.23
"India",2007,49780,"AUS",24.55
"China",2007,36340,"AUS",17.92
"UK, CIs & IOM",2007,33410,"AUS",16.48
"New Zealand",2007,27730,"AUS",13.68
"Philippines",2007,11900,"AUS",5.87
"South Africa",2007,11080,"AUS",5.46
"Korea, South",2007,9770,"AUS",4.82
"Nepal",2007,7960,"AUS",3.93
"Vietnam",2007,7490,"AUS",3.69
"Malaysia",2007,7310,"AUS",3.61
"India",2008,59960,"AUS",28.96
"China",2008,33590,"AUS",16.22
"UK, CIs & IOM",2008,30030,"AUS",14.5
"New Zealand",2008,23150,"AUS",11.18
"South Africa",2008,12870,"AUS",6.22
"Philippines",2008,12110,"AUS",5.85
"Nepal",2008,11250,"AUS",5.43
"Vietnam",2008,9150,"AUS",4.42
"Korea, South",2008,8240,"AUS",3.98
"Malaysia",2008,6710,"AUS",3.24
"China",2009,28340,"AUS",22.75
"India",2009,24060,"AUS",19.31
"UK, CIs & IOM",2009,20860,"AUS",16.74
"New Zealand",2009,15780,"AUS",12.67
"Philippines",2009,9030,"AUS",7.25
"Vietnam",2009,6800,"AUS",5.46
"South Africa",2009,5820,"AUS",4.67
"Malaysia",2009,5440,"AUS",4.37
"Sri Lanka",2009,4670,"AUS",3.75
"Ireland",2009,3780,"AUS",3.03
"New Zealand",2010,29040,"AUS",24.22
"UK, CIs & IOM",2010,24820,"AUS",20.7
"China",2010,17680,"AUS",14.74
"Philippines",2010,9620,"AUS",8.02
"India",2010,9230,"AUS",7.7
"Ireland",2010,8660,"AUS",7.22
"South Africa",2010,6280,"AUS",5.24
"USA",2010,5050,"AUS",4.21
"Vietnam",2010,4780,"AUS",3.99
"Malaysia",2010,4750,"AUS",3.96
"New Zealand",2011,34540,"AUS",22.77
"UK, CIs & IOM",2011,31430,"AUS",20.72
"India",2011,18760,"AUS",12.36
"China",2011,15510,"AUS",10.22
"Philippines",2011,14550,"AUS",9.59
"Ireland",2011,12710,"AUS",8.38
"USA",2011,7010,"AUS",4.62
"South Africa",2011,6950,"AUS",4.58
"Pakistan",2011,5220,"AUS",3.44
"Malaysia",2011,5040,"AUS",3.32
"UK, CIs & IOM",2012,25020,"AUS",17.44
"New Zealand",2012,24740,"AUS",17.24
"India",2012,23670,"AUS",16.5
"China",2012,22580,"AUS",15.74
"Philippines",2012,14210,"AUS",9.9
"Vietnam",2012,7990,"AUS",5.57
"Taiwan",2012,7830,"AUS",5.46
"Pakistan",2012,6250,"AUS",4.36
"Ireland",2012,5660,"AUS",3.95
"South Africa",2012,5520,"AUS",3.85
"India",2013,33340,"AUS",25.8
"China",2013,30800,"AUS",23.83
"Philippines",2013,12830,"AUS",9.93
"UK, CIs & IOM",2013,12260,"AUS",9.49
"Vietnam",2013,8750,"AUS",6.77
"Nepal",2013,7310,"AUS",5.66
"New Zealand",2013,7240,"AUS",5.6
"Pakistan",2013,6850,"AUS",5.3
"Thailand",2013,5130,"AUS",3.97
"Iraq",2013,4720,"AUS",3.65
"China",2014,39070,"AUS",28.63
"India",2014,38400,"AUS",28.14
"Philippines",2014,12430,"AUS",9.11
"UK, CIs & IOM",2014,9400,"AUS",6.89
"Vietnam",2014,7320,"AUS",5.36
"Pakistan",2014,7230,"AUS",5.3
"Malaysia",2014,6680,"AUS",4.89
"Nepal",2014,6410,"AUS",4.7
"Thailand",2014,5410,"AUS",3.96
"Sri Lanka",2014,4120,"AUS",3.02
"China",2015,45480,"AUS",29.43
"India",2015,40860,"AUS",26.44
"Philippines",2015,13000,"AUS",8.41
"Malaysia",2015,12100,"AUS",7.83
"UK, CIs & IOM",2015,9140,"AUS",5.92
"Nepal",2015,7970,"AUS",5.16
"Vietnam",2015,7830,"AUS",5.07
"Pakistan",2015,6730,"AUS",4.36
"Brazil",2015,5830,"AUS",3.77
"Thailand",2015,5580,"AUS",3.61
"China",2016,50020,"AUS",27.11
"India",2016,49730,"AUS",26.95
"Nepal",2016,14880,"AUS",8.06
"Philippines",2016,13590,"AUS",7.37
"Malaysia",2016,12180,"AUS",6.6
"UK, CIs & IOM",2016,10460,"AUS",5.67
"Iraq",2016,9840,"AUS",5.33
"Syria",2016,8180,"AUS",4.43
"Vietnam",2016,8120,"AUS",4.4
"Brazil",2016,7510,"AUS",4.07
"India",2017,55860,"AUS",31.32
"China",2017,44610,"AUS",25.01
"Nepal",2017,21000,"AUS",11.78
"Philippines",2017,12620,"AUS",7.08
"Malaysia",2017,9590,"AUS",5.38
"Pakistan",2017,7840,"AUS",4.4
"UK, CIs & IOM",2017,7830,"AUS",4.39
"Vietnam",2017,7250,"AUS",4.07
"Brazil",2017,6260,"AUS",3.51
"Sri Lanka",2017,5480,"AUS",3.07
"India",2018,73190,"AUS",41.18
"Nepal",2018,24060,"AUS",13.54
"China",2018,20170,"AUS",11.35
"Philippines",2018,18400,"AUS",10.35
"Vietnam",2018,7880,"AUS",4.43
"Pakistan",2018,7510,"AUS",4.23
"UK, CIs & IOM",2018,7440,"AUS",4.19
"Sri Lanka",2018,6980,"AUS",3.93
"Iraq",2018,6130,"AUS",3.45
"South Africa",2018,5990,"AUS",3.37
"India",2019,59810,"AUS",39.86
"Australia",2019,18060,"AUS",12.04
"Philippines",2019,15350,"AUS",10.23
"Nepal",2019,13340,"AUS",8.89
"UK, CIs & IOM",2019,10670,"AUS",7.11
"Vietnam",2019,7470,"AUS",4.98
"Sri Lanka",2019,6960,"AUS",4.64
"Iraq",2019,6420,"AUS",4.28
"South Africa",2019,6380,"AUS",4.25
"Pakistan",2019,5600,"AUS",3.73
"Australia",2020,7470,"AUS",36.91
"South Africa",2020,2560,"AUS",12.65
"Vanuatu",2020,2290,"AUS",11.31
"Tonga",2020,1770,"AUS",8.75
"Afghanistan",2020,1460,"AUS",7.21
"Philippines",2020,1080,"AUS",5.34
"Samoa",2020,1000,"AUS",4.94
"Solomon Islands",2020,990,"AUS",4.89
"Fiji",2020,810,"AUS",4
"Lebanon",2020,810,"AUS",4
"India",2021,43080,"AUS",31.47
"Nepal",2021,20890,"AUS",15.26
"China",2021,14720,"AUS",10.75
"Philippines",2021,12870,"AUS",9.4
"Hong Kong",2021,8440,"AUS",6.17
"Afghanistan",2021,8410,"AUS",6.14
"Vietnam",2021,8240,"AUS",6.02
"Thailand",2021,7190,"AUS",5.25
"Pakistan",2021,7110,"AUS",5.19
"Sri Lanka",2021,5940,"AUS",4.34
"India",2022,94840,"AUS",28.38
"China",2022,59530,"AUS",17.81
"Philippines",2022,43270,"AUS",12.95
"Nepal",2022,27970,"AUS",8.37
"Colombia",2022,22840,"AUS",6.83
"UK, CIs & IOM",2022,19300,"AUS",5.78
"Vietnam",2022,18760,"AUS",5.61
"Pakistan",2022,17620,"AUS",5.27
"New Zealand",2022,15940,"AUS",4.77
"Thailand",2022,14120,"AUS",4.23
"India",2023,72360,"AUS",25.91
"China",2023,49720,"AUS",17.8
"Philippines",2023,32570,"AUS",11.66
"New Zealand",2023,23620,"AUS",8.46
"UK, CIs & IOM",2023,21200,"AUS",7.59
"Vietnam",2023,20660,"AUS",7.4
"Nepal",2023,18870,"AUS",6.76
"Sri Lanka",2023,14560,"AUS",5.21
"Pakistan",2023,14350,"AUS",5.14
"Indonesia",2023,11380,"AUS",4.07
"China",2004,8030,"NSW",23.16
"India",2004,6340,"NSW",18.29
"UK, CIs & IOM",2004,5360,"NSW",15.46
"New Zealand",2004,4080,"NSW",11.77
"Korea, South",2004,2940,"NSW",8.48
"Philippines",2004,2370,"NSW",6.84
"Bangladesh",2004,1480,"NSW",4.27
"Sudan",2004,1440,"NSW",4.15
"USA",2004,1380,"NSW",3.98
"South Africa",2004,1250,"NSW",3.61
"India",2005,7770,"NSW",20.85
"China",2005,7690,"NSW",20.63
"UK, CIs & IOM",2005,6020,"NSW",16.15
"Korea, South",2005,4050,"NSW",10.87
"New Zealand",2005,3700,"NSW",9.93
"Philippines",2005,2300,"NSW",6.17
"Iraq",2005,1610,"NSW",4.32
"Thailand",2005,1590,"NSW",4.27
"South Africa",2005,1280,"NSW",3.43
"Vietnam",2005,1260,"NSW",3.38
"China",2006,11700,"NSW",23.18
"India",2006,11650,"NSW",23.08
"UK, CIs & IOM",2006,7090,"NSW",14.05
"Korea, South",2006,4580,"NSW",9.07
"New Zealand",2006,3910,"NSW",7.75
"Nepal",2006,3220,"NSW",6.38
"Philippines",2006,2560,"NSW",5.07
"Thailand",2006,2130,"NSW",4.22
"Bangladesh",2006,1890,"NSW",3.74
"Vietnam",2006,1750,"NSW",3.47
"China",2007,15350,"NSW",24.22
"India",2007,14640,"NSW",23.1
"UK, CIs & IOM",2007,8850,"NSW",13.96
"Nepal",2007,5520,"NSW",8.71
"Korea, South",2007,4480,"NSW",7.07
"New Zealand",2007,4280,"NSW",6.75
"Philippines",2007,3030,"NSW",4.78
"Thailand",2007,2580,"NSW",4.07
"Vietnam",2007,2430,"NSW",3.83
"South Africa",2007,2230,"NSW",3.52
"India",2008,13180,"NSW",22.69
"China",2008,12560,"NSW",21.62
"UK, CIs & IOM",2008,7250,"NSW",12.48
"Nepal",2008,6460,"NSW",11.12
"Korea, South",2008,3720,"NSW",6.4
"New Zealand",2008,3400,"NSW",5.85
"Philippines",2008,3160,"NSW",5.44
"Vietnam",2008,2920,"NSW",5.03
"Thailand",2008,2750,"NSW",4.73
"Ireland",2008,2700,"NSW",4.65
"China",2009,9550,"NSW",27.92
"UK, CIs & IOM",2009,5330,"NSW",15.58
"India",2009,4940,"NSW",14.44
"New Zealand",2009,3180,"NSW",9.3
"Philippines",2009,2510,"NSW",7.34
"Vietnam",2009,2280,"NSW",6.66
"Korea, South",2009,1950,"NSW",5.7
"Ireland",2009,1510,"NSW",4.41
"Iraq",2009,1500,"NSW",4.38
"Bangladesh",2009,1460,"NSW",4.27
"UK, CIs & IOM",2010,7170,"NSW",21.49
"China",2010,5950,"NSW",17.84
"New Zealand",2010,5390,"NSW",16.16
"India",2010,3150,"NSW",9.44
"Ireland",2010,2830,"NSW",8.48
"Philippines",2010,2460,"NSW",7.37
"USA",2010,1740,"NSW",5.22
"Iraq",2010,1600,"NSW",4.8
"Vietnam",2010,1570,"NSW",4.71
"Pakistan",2010,1500,"NSW",4.5
"UK, CIs & IOM",2011,6910,"NSW",19.48
"India",2011,5270,"NSW",14.86
"New Zealand",2011,4960,"NSW",13.98
"China",2011,4650,"NSW",13.11
"Philippines",2011,3740,"NSW",10.54
"Ireland",2011,2900,"NSW",8.18
"Pakistan",2011,1960,"NSW",5.53
"Vietnam",2011,1890,"NSW",5.33
"USA",2011,1620,"NSW",4.57
"Korea, South",2011,1570,"NSW",4.43
"China",2012,8510,"NSW",20.75
"India",2012,7330,"NSW",17.87
"UK, CIs & IOM",2012,6730,"NSW",16.41
"New Zealand",2012,4010,"NSW",9.78
"Philippines",2012,3560,"NSW",8.68
"Vietnam",2012,2750,"NSW",6.71
"Pakistan",2012,2300,"NSW",5.61
"Iraq",2012,2110,"NSW",5.15
"Korea, South",2012,2080,"NSW",5.07
"Thailand",2012,1630,"NSW",3.97
"China",2013,12160,"NSW",25.94
"India",2013,10300,"NSW",21.98
"UK, CIs & IOM",2013,4210,"NSW",8.98
"Philippines",2013,3890,"NSW",8.3
"Nepal",2013,3650,"NSW",7.79
"Vietnam",2013,2930,"NSW",6.25
"Iraq",2013,2800,"NSW",5.97
"Thailand",2013,2720,"NSW",5.8
"Pakistan",2013,2500,"NSW",5.33
"New Zealand",2013,1710,"NSW",3.65
"China",2014,14880,"NSW",29.26
"India",2014,12400,"NSW",24.38
"Nepal",2014,3740,"NSW",7.35
"Philippines",2014,3660,"NSW",7.2
"UK, CIs & IOM",2014,3340,"NSW",6.57
"Pakistan",2014,2960,"NSW",5.82
"Thailand",2014,2890,"NSW",5.68
"Vietnam",2014,2770,"NSW",5.45
"Iraq",2014,2350,"NSW",4.62
"Syria",2014,1870,"NSW",3.68
"China",2015,17420,"NSW",30.62
"India",2015,13750,"NSW",24.17
"Nepal",2015,4970,"NSW",8.73
"Philippines",2015,4160,"NSW",7.31
"UK, CIs & IOM",2015,3220,"NSW",5.66
"Brazil",2015,3150,"NSW",5.54
"Vietnam",2015,2980,"NSW",5.24
"Pakistan",2015,2710,"NSW",4.76
"Thailand",2015,2380,"NSW",4.18
"Malaysia",2015,2160,"NSW",3.8
"China",2016,19250,"NSW",25.79
"India",2016,17020,"NSW",22.8
"Nepal",2016,9600,"NSW",12.86
"Iraq",2016,5650,"NSW",7.57
"Philippines",2016,4780,"NSW",6.4
"Syria",2016,4200,"NSW",5.63
"Brazil",2016,4120,"NSW",5.52
"UK, CIs & IOM",2016,3980,"NSW",5.33
"Vietnam",2016,3180,"NSW",4.26
"Pakistan",2016,2860,"NSW",3.83
"India",2017,18530,"NSW",26.21
"China",2017,17090,"NSW",24.17
"Nepal",2017,14220,"NSW",20.11
"Philippines",2017,4380,"NSW",6.19
"Brazil",2017,3330,"NSW",4.71
"Pakistan",2017,3100,"NSW",4.38
"UK, CIs & IOM",2017,2940,"NSW",4.16
"Vietnam",2017,2710,"NSW",3.83
"Malaysia",2017,2320,"NSW",3.28
"Iraq",2017,2090,"NSW",2.96
"India",2018,21970,"NSW",33.53
"Nepal",2018,15260,"NSW",23.29
"China",2018,6520,"NSW",9.95
"Philippines",2018,6260,"NSW",9.55
"Iraq",2018,4070,"NSW",6.21
"Pakistan",2018,2740,"NSW",4.18
"Vietnam",2018,2710,"NSW",4.14
"UK, CIs & IOM",2018,2210,"NSW",3.37
"Brazil",2018,2150,"NSW",3.28
"Indonesia",2018,1640,"NSW",2.5
"India",2019,17610,"NSW",34.63
"Nepal",2019,7660,"NSW",15.06
"Australia",2019,5620,"NSW",11.05
"Philippines",2019,5150,"NSW",10.13
"Iraq",2019,3960,"NSW",7.79
"UK, CIs & IOM",2019,2820,"NSW",5.55
"Vietnam",2019,2240,"NSW",4.41
"Pakistan",2019,2090,"NSW",4.11
"South Africa",2019,1870,"NSW",3.68
"Argentina",2019,1830,"NSW",3.6
"Australia",2020,8270,"NSW",47.75
"New Zealand",2020,1930,"NSW",11.14
"South Africa",2020,1450,"NSW",8.37
"Hong Kong",2020,1110,"NSW",6.41
"Vanuatu",2020,1000,"NSW",5.77
"UK, CIs & IOM",2020,930,"NSW",5.37
"Philippines",2020,750,"NSW",4.33
"Fiji",2020,700,"NSW",4.04
"Lebanon",2020,610,"NSW",3.52
"Tonga",2020,570,"NSW",3.29
"Nepal",2021,14800,"NSW",27.93
"India",2021,13650,"NSW",25.76
"China",2021,5540,"NSW",10.45
"Philippines",2021,3980,"NSW",7.51
"Hong Kong",2021,2980,"NSW",5.62
"Pakistan",2021,2810,"NSW",5.3
"Thailand",2021,2620,"NSW",4.94
"Vietnam",2021,2580,"NSW",4.87
"Afghanistan",2021,2030,"NSW",3.83
"Iraq",2021,2000,"NSW",3.77
"India",2022,27570,"NSW",23.05
"China",2022,24590,"NSW",20.56
"Nepal",2022,16880,"NSW",14.11
"Philippines",2022,14110,"NSW",11.79
"Pakistan",2022,6780,"NSW",5.67
"Colombia",2022,6630,"NSW",5.54
"Vietnam",2022,6250,"NSW",5.22
"Indonesia",2022,5900,"NSW",4.93
"UK, CIs & IOM",2022,5850,"NSW",4.89
"Brazil",2022,5070,"NSW",4.24
"China",2023,21470,"NSW",22.92
"India",2023,19590,"NSW",20.91
"Philippines",2023,10350,"NSW",11.05
"Nepal",2023,10260,"NSW",10.95
"Vietnam",2023,7500,"NSW",8.01
"UK, CIs & IOM",2023,6530,"NSW",6.97
"Bangladesh",2023,4940,"NSW",5.27
"Indonesia",2023,4580,"NSW",4.89
"Pakistan",2023,4510,"NSW",4.81
"Ireland",2023,3940,"NSW",4.21
"Japan",2004,160,"NT",17.39
"UK, CIs & IOM",2004,150,"NT",16.3
"Germany",2004,150,"NT",16.3
"New Zealand",2004,120,"NT",13.04
"Philippines",2004,120,"NT",13.04
"Sudan",2004,60,"NT",6.52
"India",2004,50,"NT",5.43
"Singapore",2004,40,"NT",4.35
"South Africa",2004,40,"NT",4.35
"France",2004,30,"NT",3.26
"Japan",2005,130,"NT",15.48
"Germany",2005,110,"NT",13.1
"India",2005,100,"NT",11.9
"Philippines",2005,90,"NT",10.71
"UK, CIs & IOM",2005,80,"NT",9.52
"Zimbabwe",2005,80,"NT",9.52
"New Zealand",2005,70,"NT",8.33
"USA",2005,70,"NT",8.33
"Timor-Leste",2005,60,"NT",7.14
"South Africa",2005,50,"NT",5.95
"Philippines",2006,360,"NT",31.86
"UK, CIs & IOM",2006,140,"NT",12.39
"India",2006,130,"NT",11.5
"China",2006,100,"NT",8.85
"Japan",2006,100,"NT",8.85
"Zimbabwe",2006,90,"NT",7.96
"Singapore",2006,60,"NT",5.31
"South Africa",2006,60,"NT",5.31
"Germany",2006,50,"NT",4.42
"Thailand",2006,40,"NT",3.54
"Philippines",2007,400,"NT",29.63
"China",2007,160,"NT",11.85
"India",2007,160,"NT",11.85
"UK, CIs & IOM",2007,150,"NT",11.11
"Taiwan",2007,120,"NT",8.89
"Thailand",2007,100,"NT",7.41
"South Africa",2007,80,"NT",5.93
"Zimbabwe",2007,70,"NT",5.19
"New Zealand",2007,60,"NT",4.44
"Singapore",2007,50,"NT",3.7
"Philippines",2008,500,"NT",29.94
"UK, CIs & IOM",2008,270,"NT",16.17
"India",2008,200,"NT",11.98
"China",2008,170,"NT",10.18
"South Africa",2008,140,"NT",8.38
"New Zealand",2008,110,"NT",6.59
"Taiwan",2008,110,"NT",6.59
"Zimbabwe",2008,70,"NT",4.19
"Ireland",2008,50,"NT",2.99
"Thailand",2008,50,"NT",2.99
"Philippines",2009,400,"NT",37.04
"India",2009,170,"NT",15.74
"UK, CIs & IOM",2009,90,"NT",8.33
"Greece",2009,90,"NT",8.33
"China",2009,90,"NT",8.33
"South Africa",2009,70,"NT",6.48
"Vietnam",2009,50,"NT",4.63
"Thailand",2009,40,"NT",3.7
"Taiwan",2009,40,"NT",3.7
"Zimbabwe",2009,40,"NT",3.7
"Philippines",2010,350,"NT",30.43
"New Zealand",2010,180,"NT",15.65
"UK, CIs & IOM",2010,150,"NT",13.04
"India",2010,140,"NT",12.17
"Greece",2010,70,"NT",6.09
"South Africa",2010,70,"NT",6.09
"Vietnam",2010,60,"NT",5.22
"China",2010,50,"NT",4.35
"Thailand",2010,40,"NT",3.48
"Taiwan",2010,40,"NT",3.48
